LIBNAME,CITY,STABR,LATITUDE,LONGITUD,log_VISITS,HRS_OPEN,gwr_local_r2,gwr_predictions,gwr_residuals,gwr_std_residuals,gwr_coef_intercept,gwr_coef_log_TOTSTAFF,gwr_coef_log_TOTINCM,gwr_coef_HRS_OPEN,gwr_coef_log_TOTCOLL,gwr_coef_log_TOTSTAFF_cv,gwr_coef_log_TOTINCM_cv,gwr_coef_HRS_OPEN_cv,gwr_coef_log_TOTCOLL_cv
ELLWOOD CITY AREA PUB LIBRARY,ELLWOOD CITY,PA,40.85850619,-80.28627565,9.91610758389223,2392,0.8279556147350758,10.058920168691026,-0.14281258479879533,-0.27528653763844285,9.922995478012139,0.742464318730776,-0.07008970410072107,-0.05912567102155472,0.8749586941738297,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
NEW CASTLE PUBLIC LIBRARY,NEW CASTLE,PA,41.00140557,-80.34395295,11.104430772301699,6238,0.8369416331003448,11.143918941411725,-0.03948816911002595,-0.07611767105325898,9.907365127756837,0.7299283117680782,-0.04042743331394852,-0.050855154197528486,0.8532243673613013,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
GREENVILLE AREA PUBLIC LIBRARY,GREENVILLE,PA,41.40800079,-80.38009463,9.845381631129095,2242,0.8652840576035927,9.870932191190638,-0.025550560061542882,-0.04925143833769859,9.886722498463646,0.689909217126523,0.06057668545703851,-0.03073940492386639,0.7780166611312687,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
GROVE CITY COMMUNITY LIBRARY,GROVE CITY,PA,41.15767932,-80.08828336,10.332636634648445,1804,0.8403342757775252,9.903134251013839,0.42950238363460613,0.8279117996835409,9.927850639598555,0.6430069776635072,0.07494710419982263,-0.0617641678635125,0.8684415442189849,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MERCER AREA LIBRARY,MERCER,PA,41.2285225,-80.23858698,9.933191975242458,2050,0.8452030593722393,9.412948471385429,0.5202435038570297,1.0028250178894715,9.905907568731386,0.6552145358527917,0.07310194611272183,-0.04754493367566999,0.8364988879249492,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
COMMUNITY LIBRARY OF THE SHENANGO VALLEY,SHARON,PA,41.23320463,-80.50502505,11.124700881244467,4377,0.8627376022999863,10.398627238625277,0.7260736426191894,1.3995846334464974,9.876489650806322,0.735719870344518,-0.009947824166071415,-0.033773474045307936,0.7943686598292894,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CAMBRIDGE SPRINGS PUB LIBRARY ASSOCIATION,CAMBRIDGE SPRINGS,PA,41.80605779,-80.05455073,9.093244600099936,2280,0.8636992904173834,9.104248230643412,-0.011003630543475751,-0.021210675221891292,9.944406695639193,0.6185948987993447,0.12265303436555018,-0.024848548571031255,0.7881255026871823,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MARGARET SHONTZ MEM LIBRARY,CONNEAUT LAKE,PA,41.60275586,-80.30288129,9.160834952072344,2340,0.8730524564644486,8.872575731858296,0.28825922021404793,0.555650489674157,9.905122154017832,0.6539270595668355,0.10170197300657685,-0.021471640936589882,0.7589355040130151,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
JAMES A STONE MEMORIAL LIBRARY,CONNEAUTVILLE,PA,41.75763705,-80.36784833,8.406485069431817,2220,0.8845435240140421,8.80121469943084,-0.3947296299990235,-0.7608835964899602,9.907729291708844,0.6785879064041243,0.09674514583631,-0.016104497584623245,0.7154501656021587,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
LINESVILLE COMMUNITY PUBLIC LIBRARY,LINESVILLE,PA,41.65661047,-80.42482105,8.81744592104187,2280,0.8839304191793489,8.914876002724698,-0.09743008168282863,-0.18780690711595335,9.894982006635288,0.689884564905877,0.07941233555536963,-0.01969344848119399,0.7278811338756346,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SAEGERTOWN AREA LIBRARY,SAEGERTOWN,PA,41.72052584,-80.14783863,9.222367752188902,2237,0.8677217183394713,9.288330353095649,-0.06596260090674733,-0.12714997101150471,9.928220816618214,0.6151846963743002,0.13382029181059688,-0.01713353438268664,0.7724492707492109,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
"BENSON MEMORIAL LIBRARY, INC.",TITUSVILLE,PA,41.629075,-79.67339751,10.450510091613937,2486,0.8426483455897993,10.586233203198054,-0.13572311158411665,-0.2616208194687243,9.980215910381107,0.6042023894867364,0.09893118088846524,-0.115544486381874,0.9528136853900224,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
ALBION AREA PUBLIC LIBRARY,ALBION,PA,41.89214723,-80.36120324,8.769507120030227,1288,0.8886954965399746,8.966533921835403,-0.19702680180517618,-0.3797902416466884,9.919251719056964,0.6820046992294042,0.10084268990463115,-0.012840766141774134,0.69453215570339,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
CORRY PUBLIC LIBRARY,CORRY,PA,41.92162169,-79.64314152,10.05642320880684,2600,0.8461327230154072,10.442626424796465,-0.3862032159896245,-0.7444480211908625,10.00918478144141,0.6752175310778015,0.036755546347703914,-0.20278435202860615,0.9576378421242189,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
MCCORD MEMORIAL LIBRARY,NORTH EAST,PA,42.21563509,-79.83603426,9.941794386690715,2228,0.8669433854842211,10.00007088806912,-0.05827650137840479,-0.11233419178530493,10.007654233716806,0.661764604878772,0.03847639296948463,-0.1423503866913457,0.9077727068885436,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
UNION CITY PUBLIC LIBRARY,UNION CITY,PA,41.89691922,-79.8466595,9.060679597421776,2290,0.8529775736834404,9.295636046230939,-0.23495644880916267,-0.4529036945842327,9.98002413603713,0.63154810153146,0.09097285929078286,-0.08185748856964684,0.8620932740126505,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
WATERFORD PUBLIC LIBRARY,WATERFORD,PA,41.94193106,-79.98432971,8.764209507142004,1316,0.8613780039714649,8.863997174203403,-0.09978766706139908,-0.19235140518640037,9.965676850184677,0.6329907597661224,0.10675290365366767,-0.03950119694380065,0.7958236941131094,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SHEFFIELD TOWNSHIP LIBRARY,SHEFFIELD,PA,41.70230215,-79.03249691,8.033009498596668,1664,0.8200209826977894,8.266408979762627,-0.233399481165959,-0.449902472861956,10.008808994219558,0.8288311405818392,-0.11413549652508397,-0.612414158625977,1.145969225726737,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
SUGAR GROVE FREE LIBRARY,SUGAR GROVE,PA,41.98133937,-79.34004287,8.297294370266917,1760,0.8504008637916187,8.67585780987353,-0.378563439606614,-0.7297215347837022,10.012035330224887,0.7859831439641035,-0.055808917907069135,-0.5276890798620485,1.0638458846054846,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
"TIDIOUTE LIBRARY ASSOCIATION, INC.",TIDIOUTE,PA,41.68342468,-79.40751365,7.898411092811599,1290,0.8205583932955972,8.28063513756797,-0.38222404475637095,-0.7367777428815935,10.015692916674476,0.6987135278640977,0.0008013340766151178,-0.30174858011840866,1.0608961073104237,0.8211730503155243,0.8493006421568968,6.968107918040343,0.3075167967841864
